word,phonetic,chinese,example
"a","[ei, ә]","art.一(个)；每一(个)",""
"able","['eibl]","a.有能力的；出色的",""
"about","[ә'baut]","prep.关于；在…周围",""
"accept","[әk'sept]","vt.vi.接受；同意",""
"accord","[ә'kɔ:d]","vt.使一致；给予",""
"according to","[]","根据…",""
"account","[ә'kaunt]","n.记述；解释；帐目",""
"across","[ә'krɔs]","prep.横过；在…对面",""
"act","[æ kt]","vi.行动；见效 n.行为",""
"action","['æ kʃәn]","n.行动；作用；功能",""
"actually","['æ ktjuәli]","ad.实际上；竟然",""
"add","[æ d]","vt.添加；附加；掺加",""
"after","['a:ftә]","prep.在…以后；次于",""
"again","[ә'gein, ә'gen]","ad.又一次；而且",""
"against","[ә'geinst, ә'genst]","prep.靠在；反对；对着",""
"age","[eidʒ]","n.年龄；时代 vt.变老",""
"ago","[ә'gәu]","ad.以前",""
"agree","[ә'gri:]","vi.同意；持相同意见",""
"aid","[eid]","n.帮助；救护；助手",""
"air","[ɛә]","n.空气；空中；外观",""
"all","[ɔ:l]","a.全部的 prep.全部",""
"allow","[ә'lau]","vt.允许；准许",""
"almost","['ɔ:lmәust]","ad.几乎；差不多",""
"along","[ә'lɔŋ]","prep.沿着 ad.向前",""
"already","[ɔ:l'redi]","ad.早已；已经",""
"also","['ɔ:lsәu]","ad.亦；也；而且；还",""
"although","[ɔ:l'ðәu]","conj.尽管；虽然",""
"always","['ɔ:lweiz, 'ɔ:lwәz]","ad.总是；一直；永远",""
"among","[ә'mʌŋ]","prep.在…之中",""
"and","[æ nd, әnd]","conj.和；又；并；则",""
"announce","[ә'nauns]","vt.宣布；发表",""
"another","[ә'nʌðә]","a.再一个的；别的",""
"answer","['a:nsә]","vt.回答；响应；适应",""
"any","['eni]","a.什么；一些；任何的",""
"anything","['eniθiŋ]","pron.任何事物；一切",""
"appear","[ә'piә]","vi.出现；来到；似乎",""
"area","['ɛәriә]","n.面积；地区；领域",""
"arm","[a:m]","n.手臂；武器",""
"army","['a:mi]","n.军队；陆军",""
"around","[ә'raund]","prep.在…周围",""
"art","[a:t]","n.艺术；美术",""
"as","[æ z, әz]","conj.当…的时候",""
"ask","[a:sk]","vt.问；要求；邀请",""
"at","[æ t, әt]","prep.在…里；在…时",""
"attack","[ә'tæ k]","vt.vi.n.攻击；进攻",""
"attempt","[ә'tempt]","vt.尝试；试图 n.企图",""
"authority","[ɔ:'θɔriti]","n.当局；官方；权力",""
"available","[ә'veilәbl]","a.可利用的；通用的",""
"away","[ә'wei]","ad.离开；远离；…去",""
"back","[bæ k]","ad.在后；向后 n.背后",""
"bad","[bæ d]","a.坏的；恶的；严重的",""
"bank","[bæŋk]","n.银行；库；堤",""
"base","[beis]","n.基础；底层；基地",""
"based","[]","v. 立基于；以...为基础",""
"be","[bi:]","aux.v.vi.是；在；做",""
"beat","[bi:t]","vt.vi.打；敲；打败",""
"because","[bi'kɔz]","conj.由于；因为",""
"become","[bi'kʌm]","vi.变成；成为；变得",""
"before","[bi'fɔ:]","prep.在…以前",""
"begin","[bi'gin]","vi.开始 vt.开始",""
"behind","[bi'haind]","prep.在…后面",""
"believe","[bi'li:v]","vt.相信；认为",""
"better","['betә]","a.较好的 ad.更好地",""
"between","[bi'twi:n]","prep.在…中间",""
"big","[big]","a.大的",""
"billion","['biljәn]","num.十亿",""
"bit","[bit]","n.一点；一些；小片",""
"bite","[bait]","vt.咬；叮；螫",""
"black","[blæ k]","a.黑色的；黑暗的",""
"blue","[blu:]","a.蓝色的 n.蓝色",""
"body","['bɔdi]","n.身体；主体；尸体",""
"Book","[buk]","n.书籍 vt.预定",""
"Both","[bәuθ]","pron.两者都",""
"boy","[bɔi]","n.男孩；少年；家伙",""
"break","[breik]","vt.打破；损坏",""
"bring","[briŋ]","vt.带来；引出；促使",""
"brother","['brʌðә]","n.兄弟",""
"brown","[braun]","n.褐色；棕色",""
"build","[bild]","vt.建造；建立；创立",""
"building","['bildiŋ]","n.建筑物；大楼",""
"business","['biznis]","n.商业；生意；事务",""
"but","[bʌt]","conj.但是；可是",""
"buy","[bai]","vt.vi.购买",""
"by","[bai]","prep.在…旁；被；由",""
"call","[kɔ:l]","vt.把…叫做；喊；打电话",""
"campaign","[kæ m'pein]","n.战役；运动",""
"can","[kæ n]","aux.v.能；会；可能",""
"can't","[ka:nt]","v. & aux. 不 能",""
"capital","['kæ pitl]","n.资本；资金；首都",""
"car","[ka:]","n.轿车",""
"care","[kɛә]","vi.关心；介意 n.小心",""
"carry","['kæ ri]","vt.携带；运载；传送",""
"case","[keis]","n.情况；事实；病例",""
"cause","[kɔ:z]","n.原因；理由",""
"central","['sentrәl]","a.中心的；主要的",""
"centre","['sentә]","n.中心；中枢 vt.集中",""
"century","['sentʃuri]","n.世纪；百年",""
"chance","[tʃa:ns]","n.机会；机遇；可能性",""
"change","[tʃeindʒ]","n.变化；零钱 vt.改变",""
"charge","[tʃa:dʒ]","vt.索价；控告 n.费用",""
"chief","[tʃi:f]","a.主要的；首席的",""
"child","[tʃaild]","n.小孩",""
"city","['siti]","n.城市",""
"claim","[kleim]","vt.声称；主张；索取",""
"class","[kla:s]","n.班级；阶级",""
"clear","[kliә]","a.清晰的 vt.清除",""
"close","[klәuz, klәus]","vt.关闭；结束",""
"club","[klʌb]","n.俱乐部；夜总会",""
"colour","['kʌlә]","n.颜色",""
"come","[kʌm]","vi.来；来到；出现",""
"coming","['kʌmiŋ]","n.来 临",""
"committee","[kә'miti]","n.委员会",""
"common","['kɔmәn]","a.普通的；共同的",""
"community","[kә'mju:niti]","n.社区",""
"company","['kʌmpәni]","n.公司 vt.陪伴",""
"complete","[kәm'pli:t]","a.完整的；完成的",""
"concern","[kәn'sә:n]","n.关心；挂念；关系",""
"condition","[kәn'diʃәn]","n.状况；条件；环境",""
"conference","['kɔnfәrәns]","n.会议；讨论会",""
"consider","[kәn'sidә]","vt.认为；考虑；关心",""
"continue","[kәn'tinju(:)]","vt.继续",""
"control","[kәn'trәul]","vt.控制；克制 n.控制",""
"cost","[kɔst]","n.价格；代价；成本",""
"could","[kud, kәd]","aux.v.能够(can 的过去式)",""
"couldn't","[]","n. 不 能",""
"council","['kaunsil]","n.理事会；委员会",""
"Country","['kʌntri]","n.国家",""
"course","[kɔ:s]","n.课程；过程；一道菜",""
"court","[kɔ:t]","n.法庭",""
"cover","['kʌvә]","vt.盖住；包括 n.盖子",""
"create","[kri(:)'eit]","vt.创造；引起；产生",""
"cup","[kʌp]","n.杯子",""
"current","['kʌrәnt]","a.当前的；通用的",""
"cut","[kʌt]","vt.切；割；剪；减少",""
"daughter","['dɔ:tә]","n.女儿",""
"day","[dei]","n.一天；白昼",""
"deal","[di:l]","n.交易 vi.处理",""
"decide","[di'said]","vt.决定",""
"decision","[di'siʒәn]","n.决定；决心",""
"demand","[di'ma:nd]","vt.要求；需要",""
"department","[di'pa:tmәnt]","n.部；司；局；处；系",""
"describe","[dis'kraib]","vt.形容；描写；描绘",""
"design","[di'zain]","vt.设计 n.设计；图样",""
"develop","[di'velәp]","vt.发展；形成；开发",""
"development","[di'velәpmәnt]","n.发展；开发；生长",""
"didn't","[]","n. 未",""
"die","[dai]","vi.死亡",""
"different","['difrәnt]","a.不同的",""
"difficult","['difikәlt]","a.困难的",""
"direct","[di'rekt]","a.直接的；直率的",""
"director","[di'rektә]","n.董事长；导演",""
"do","[du:, du]","aux.v.vt.做；干；办",""
"doesn't","[]","aux. 不",""
"dollar","['dɔlә]","n.美元",""
"don't","[]","aux. 不",""
"door","[dɔ:]","n.门",""
"down","[daun]","ad.向下；在下面",""
"draw","[drɔ:]","vt.画；拖；拨出",""
"drive","[draiv]","vt.驾驶；驱使",""
"drug","[drʌg]","n.药物；毒品",""
"effort","['efәt]","n.努力",""
"eight","[eit]","num.八；八个；第八",""
"eighteen","['ei'ti:n]","num.十八；十八个",""
"eighty","['eiti]","num.八十；八十个",""
"either","['aiðә, 'i:ðә]","pron.(两者)任何一个",""
"election","[i'lekʃәn]","n.选举；选举权；当选",""
"eleven","[i'levn]","num.十一；十一个",""
"else","[els]","ad.其它；另外 a.别的",""
"end","[end]","n.末端；目标 vt.结束",""
"enough","[i'nʌf]","a.足够的 ad.足够地",""
"even","['i:vәn]","a.均匀的；平的",""
"event","[i'vent]","n.事件；事变",""
"ever","['evә]","ad.在任何时候；曾经",""
"every","['evri]","a.每个；每一；每隔…的",""
"everything","['evriθiŋ]","pron.每件事；事事",""
"example","[ig'za:mpl]","n.例子；实例；模范",""
"expect","[iks'pekt]","vt.预料；预期；等待",""
"experience","[iks'piәriәns]","n.经验；感受；经历",""
"eye","[ai]","n.眼睛",""
"face","[feis]","n.脸；表面；外表",""
"fact","[fæ kt]","n.事实；实际；实情",""
"fail","[feil]","vi.失败；失灵；不能",""
"fall","[fɔ:l]","vi.落下；跌倒；陷落",""
"family","['fæ mili]","n.家庭；家族",""
"far","[fa:]","a.远的 ad.远；遥远",""
"father","['fa:ðә]","n.父亲；神父；创始人",""
"fear","[fiә]","n.害怕；担心 vt.害怕",""
"feel","[fi:l]","vt.n.感觉；觉得；触摸",""
"few","[fju:]","a.很少的；少数的",""
"fifteen","['fif'ti:n]","num.十五；十五个",""
"fifty","['fifti]","num.五十；五十个",""
"fight","[fait]","vi.打(仗)；斗争",""
"figure","['figә]","n.数字；外形；人物",""
"film","[film]","n.影片；胶卷；薄层",""
"final","['fainl]","a.最后的；决定性的",""
"financial","[fai'næ nʃәl, fi-]","a.财政的；金融的",""
"find","[faind]","vt.找到；发觉；找出",""
"firm","[fә:m]","a.坚定的 n.公司；商号",""
"first","[fә:st]","num.第一 ad.最初",""
"five","[faiv]","num.五；五个；第五",""
"fly","[flai]","n.苍蝇 vi.飞行",""
"follow","['fɔlәu]","vt.跟随；结果是",""
"food","[fu:d]","n.食物",""
"foot","[fut]","n.脚；英尺",""
"for","[fɔ:, fә]","prep.为；给；因为",""
"force","[fɔ:s]","vt.强迫 n.力；力量",""
"foreign","['fɔrin]","a.外国的；外来的",""
"form","[fɔ:m]","n.形式；形状 vt.形成",""
"former","['fɔ:mә]","a.在前的 n.前者",""
"forty","['fɔ:ti]","num.四十；第四十",""
"during","['djuәriŋ]","prep.在…期间",""
"each","[i:tʃ]","pron.各；各自 a.ad.每个",""
"early","['ә:li]","ad.早 a.早的；早期的",""
"east","[i:st]","n.东；东部 ad.在东方",""
"easy","['i:zi]","a.容易的；安逸的",""
"economic","[i:kә'nɔmik]","a.经济的；经济学的",""
"economy","[i(:)'kɔnәmi]","n.经济；节约；节省",""
"education","[edju:'keiʃәn]","n.教育；训导；教育学",""
"effect","[i'fekt]","n.效果；效力",""
"four","[fɔ:]","num.四；四个；第四",""
"fourteen","['fɔ:'ti:n]","num.十四；第十四",""
"free","[fri:]","a.自由的；空闲的",""
"friend","[frend]","n.朋友",""
"from","[frɔm, frәm, frm]","prep.从…来；根据",""
"front","[frʌnt]","a.前面的 n.前部",""
"full","[ful]","a.满的；完全的",""
"fund","[fʌnd]","n.资金；基金；存款",""
"further","['fә:ðә]","ad.更进一步",""
"future","['fju:tʃә]","n.未来",""
"game","[geim]","n.游戏；比赛",""
"general","['dʒenәrәl]","a.总的；一般的n.将军",""
"get","[get]","vi.变得；成为；到达",""
"girl","[gә:l]","n.女孩子",""
"give","[giv]","vt.做；作；送给",""
"go","[gәu]","vi.去；走；变为",""
"going","['^әuiŋ]","n.去；离去；工作情况；行为",""
"good","[gud]","a.好的",""
"got","[gCt]","vbl. get 的过去式",""
"government","['gʌvәnmәnt]","n.政府",""
"great","[greit]","a.大的；伟大的",""
"green","[gri:n]","a.绿色的 n.绿色",""
"grey","[grei]","n./a.灰色(的)",""
"ground","[graund]","n.地；场地",""
"group","[gru:p]","n.小组；群 vi.聚集",""
"grow","[grәu]","vi.生长；增长",""
"half","[ha:f]","n.半；一半 a.一半的",""
"hand","[hæ nd]","n.手；人手",""
"happen","['hæ pәn]","vi.发生；碰巧；恰好",""
"hard","['ha:d]","a.硬的；困难的",""
"have","[hæ v, hәv]","v.aux.已经 vt.有；吃",""
"he","[hi:]","pron.(主格)他",""
"head","[hed]","n.头；前端；领导 vi.出发",""
"health","[helθ]","n.健康；健康状况",""
"hear","[hiә]","vt.听见；听说",""
"help","[help]","vt.帮助 n.帮手",""
"her","[hә:, hә]","pron.(宾格)她；她的",""
"here","[hiә]","ad.这里；向这里",""
"herself","[hә:'self]","pron.她自己；她亲自",""
"he's","[]","n. 他 是",""
"high","[hai]","a.高的；高级的 ad.高",""
"him","[him]","pron.(宾格)他",""
"himself","[him'self]","pron.他自己；他亲自",""
"his","[his]","pron.他的；他的东西",""
"history","['histәri]","n.历史；个人经历",""
"hit","[hit]","vt.打；碰撞 n.击",""
"hold","[hәuld]","vt.拿住；掌握；拥有",""
"home","[hәum]","n.家；家乡 a.家庭的",""
"hope","[hәup]","n.vt.vi.希望",""
"hospital","['hɔspitl]","n.医院",""
"host","[hәust]","n.主人；东道主",""
"hour","['auә]","n.小时",""
"house","[haus]","n.房屋；住宅",""
"how","[hau]","ad.怎么；怎样；多少",""
"however","[hau'evә]","ad.然而；不管怎样",""
"human","['hju:mәn]","a.人的；人类的 n.人",""
"hundred","['hʌndrid]","num.百；百个",""
"I","[ai]","pron.(主格)我",""
"I'd","[aid]","我将要，我应该",""
"independent","[indi'pendәnt]","a.独立的；自主的",""
"industry","['indәstri]","n.工业；产业；勤劳",""
"information","[infә'meiʃәn]","n.消息；信息；通知",""
"interest","['intrist]","n.兴趣；利益；利息",""
"international","[intә(:)'næ ʃәnl]","a.国际的",""
"into","['intu, 'intә]","prep.进；入；进入到",""
"isn't","[]","不是",""
"issue","['iʃu:]","n.问题；发行 vt.发行",""
"it","[it]","pron.这；那；它",""
"its","[its]","pron.它的",""
"it's","[]","pn. 它的",""
"itself","[it'self]","pron.它自己；自身",""
"I've","[aiv]","((口语))I have 之略",""
"job","[dʒɔb]","n.职业；工作",""
"join","[dʒɔin]","vt.参加；连接",""
"just","[dʒʌst]","ad.刚才；只是；正好",""
"keep","[ki:p]","vi.保持；坚持",""
"kill","[kil]","vi.杀死；扼杀；消磨",""
"kind","[kaind]","a.仁慈的，友好的 n.种类",""
"know","[nәu]","n.知道，了解；会，懂；认识，熟悉",""
"labour","['leibә]","v. 困难地做，太冗长地解释",""
"land","[læ nd]","n.陆地；土地vi.着陆",""
"large","[la:dʒ]","a.巨大的",""
"last","[la:st]","vi.持续 a.最后的ad.最后n.最后；末尾",""
"late","[leit]","a.迟的;晚(期)的;已故的ad.迟；晚",""
"later","['leitә]","ad.后来",""
"laugh","[la:f]","vi.笑 n.笑",""
"law","[lɔ:]","n.法律；法令",""
"lead","[li:d]","vt.为…带路；领导vi.带路；导致n.领先；领导",""
"leader","['li:dә]","n.领袖；首领",""
"learn","[lә:n]","vt.学习;听到vi.学会;获悉；知道",""
"least","[li:st]","a.最少的 ad.最少",""
"leave","[li:v]","vi.离去vt.离开;留下，遗忘n.请假",""
"left","[left]","a.左边的 ad.在左边n.左边，左侧",""
"less","[les]","a.更少的ad.更少地",""
"let","[let]","vt.允许；让;出租",""
"letter","['letә]","n.信;字母",""
"level","['levl]","n.水平；水准 a.水平的",""
"life","[laif]","n.生命；一生；寿命",""
"like","[laik]","n.爱好a.相似的；同样的vt.喜欢vi.喜欢prep.  象；如同",""
"likely","['laikli]","a.可能的ad.很可能",""
"line","[lain]","n.线，线条；排；路线",""
"list","[list]","n.名单；列表；目录vt.列出",""
"little","['litl]","a.小的；幼小的ad.一点；稍许;几乎不n.一会儿",""
"live","[liv laiv]","vi.居住;活vt.过着a.活的;实况转播的",""
"local","['lәukәl]","a.地方的n.局部",""
"idea","[ai'diә]","n.想法；思想；意见",""
"if","[if]","conj.假如；如果",""
"I'll","[]","n. 我 将",""
"I'm","[aim]","我是",""
"important","[im'pɔ:tәnt]","a.重要的",""
"in","[in]","prep.在…里ad.进；入",""
"include","[in'klu:d]","vt.包括；包含",""
"including","[in'klu:diŋ]","vbl. 包 括",""
"increase","[in'kri:s, 'inkri:s]","vt.vi.n.增加",""
"long","[lɔŋ]","a.长的；远的；长期的ad.长久vi.渴望",""
"look","[luk]","n.看;面容；外表vi.看;显得vt.打量；注视",""
"lose","[lu:z]","vt.失去；错过;迷路",""
"lot","[lɔt]","n.许多；大量；抽签",""
"love","[lʌv]","vt.爱；喜欢n.爱情；喜爱",""
"low","[lәu]","a.低的；矮的;低下的；卑贱的",""
"main","[mein]","a.主要的n.主体，要点",""
"major","['meidʒә]","vi.主修，专攻a.主要的；多数的n.专业",""
"make","[meik]","vt.使得；做；制造 n.制造",""
"man","[mæ n]","n.人；人类",""
"many","['meni]","a.许多的pron.许多人",""
"market","['ma:kit]","n.市场；集市",""
"office","['ɔfis]","n.办公室",""
"officer","['ɔfisә]","n.官员；军官",""
"match","[mæ tʃ]","vi.相称；匹配 n.比赛;匹配;火柴",""
"matter","['mæ tә]","n.事情；物质vi.要紧，有关系",""
"may","[mei]","aux.也许;可以;祝愿n.五月",""
"me","[mi:, mi]","pron.我",""
"mean","[mi:n]","vt.意思是a.自私的；吝啬的",""
"meet","[mi:t]","vt.遇见；满足vi.相遇；集合",""
"meeting","[mi:tiŋ]","n.会合；会议",""
"member","['membә]","n.成员；会员",""
"middle","['midl]","n.中部 a.中部的",""
"might","[mait]","aux.可以 n.力量；权力",""
"military","['militәri]","a.军事的",""
"million","['miljәn]","num.百万",""
"mind","[maind]","n.头脑；理智vt.注意；留心;介意；反对",""
"mine","[main]","pron.我的 n.矿，矿山；地雷，水雷 vt.开采",""
"minister","['ministә]","n.部长；大臣",""
"minute","['minit, mai'nju:t]","n.分钟；片刻",""
"moment","['mәumәnt]","n.片刻；时刻",""
"money","['mʌni]","n.金钱；财富",""
"month","[mʌnθ]","n.月；月份",""
"more","[mɔ:]","a.更多的 ad.更 n.更多的东西",""
"morning","['mɔ:niŋ]","n.上午",""
"most","[mәust]","a.最多的；大多数的ad.最；很n.大多数",""
"mother","['mʌðә]","n.母亲",""
"move","[mu:v]","vt.移动;感动vi.移动；搬家n.动作；行动",""
"Mr","[]","维护与修理",""
"Mrs","['misiz]","夫人",""
"Ms","[]","n. 美国微软公司",""
"much","[mʌtʃ]","ad.非常；很a.许多的n.多，大量",""
"music","['mju:zik]","n.音乐",""
"must","[mʌst]","aux.必须;一定",""
"my","[mai]","pron.我的",""
"name","['neim]","n.名字;名誉vt.说出；取名",""
"nation","['neiʃәn]","n.民族；国家",""
"national","['næ ʃәnl]","a.民族的；国家的",""
"near","[niә]","prep.靠近ad.接近a.近的",""
"need","[ni:d]","vt.需要aux.需要n.需要；必需品",""
"never","['nevә]","ad.决不，从不；千万不要",""
"new","[nju:]","a.新的",""
"news","[nju:z]","n.新闻；消息",""
"next","[nekst]","n.下一个a.下次的;其次的；邻近的ad.下一次;其次",""
"night","[nait]","n.夜晚",""
"nine","[nain]","num.九",""
"nineteen","['nain'ti:n]","num.十九",""
"ninety","['nainti]","num.九十",""
"no","[nәu]","ad.不；并不a.没有的",""
"north","[nɔ:θ]","n.北；北方a.北方的",""
"not","[nɔt]","ad.不；没有",""
"nothing","['nʌθiŋ]","pron.没有东西 ad.毫不 n.无关紧要 的人（事物）",""
"now","[nau]","n.现在conj.既然ad.现在；立刻",""
"number","['nʌmbә]","n.数字；号码",""
"of","[ɔv, әv]","prep.属于…的",""
"of course","[әv'kɔ:s]","adv.当 然",""
"off","[ɔ:f]","ad.(离)开;(停)止prep.从...离开;脱离",""
"offer","['ɔfә]","vt.提供n.出价;提议",""
"official","[ә'fiʃәl]","a.官方的 n.官员，行政人员",""
"often","['ɔ:fn]","ad.经常；通常",""
"oh","[әu]","int.哦",""
"oil","[ɔil]","n.油；石油vt.加油于",""
"old","[әuld]","a.老的;…岁的",""
"on","[ɔn]","prep.在…上;关于ad.继续",""
"once","[wʌns]","ad.一次；曾经conj.一旦n.一次",""
"one","[wʌn]","a.一个的，某一个的num.一pron.一个(人)",""
"only","['әunli]","ad.仅仅a.唯一的conj.可是，不过",""
"open","['әupәn]","a.(敞)开的;开放的；公开的vt.打开",""
"operate","['ɔpәreit]","vi.操作;施行手术",""
"operation","[ɔpә'reiʃәn]","n.操作;经营;手术",""
"or","[ɔ:, ә]","conj.或；或者",""
"order","['ɔ:dә]","n.命令;次序；治安，秩序vt.命令;定购",""
"other","['ʌðә]","pron.其他的；他人a.另外的；其余的",""
"our","['auә]","pron.我们的",""
"out","[aut]","a.外面的ad.在外；向外；出于n.外面；外出",""
"outside","['aut'said]","n.外部；外表 ad.在外面，向外面 a.  外部的",""
"over","['әuvә]","a.结束的prep.高于，超过;在对面ad.全部地",""
"own","[әun]","a.自己的vt.有；拥有",""
"page","[peidʒ]","n.页",""
"paper","['peipә]","n.纸；报纸;文件；论文;考卷",""
"parent","['pɛәrәnt]","n.父母亲",""
"part","[pa:t]","vt.分开，拆散n.一部分;零件；角色",""
"party","['pa:ti]","n.党派;聚会；一方，当事人",""
"pass","[pa:s]","vt.经过；度过；传递vi.流逝n.通行证；通道",""
"past","[past]","a.过去的n.过去prep.经过;超过",""
"pay","[pei]","vt.支付；付给vi.付款；付出代价n.工资，薪金",""
"peace","[pi:s]","n.和平；和睦；平静",""
"people","['pi:pl]","n.人民；人；民族",""
"percent","[pә'sent]","n.百分比；百分数",""
"perhaps","[pә'hæ ps]","ad.也许；可能",""
"person","['pә:sn]","n.人",""
"photo","['fәutәu]","n.照片",""
"place","[pleis]","n.地点；住所vt.放置",""
"plan","[plæ n]","n.计划 vt.计划；打算vi.订计划",""
"plant","[pla:nt]","n.植物;工厂vt.栽种",""
"play","[plei]","vt.玩;演奏;扮演(角色)vi.玩;演奏;播放n.游戏;  比赛",""
"player","['pleiә]","n.表演者；比赛者",""
"point","[pɔint]","vi.指向 n.小数点；要点;分数；尖端，尖",""
"police","[pә'li:s]","n.警察；警方",""
